state_code,state_name,window_start,window_end,measurement_period,shopify_sales,shopify_orders,amazon_sales,amazon_orders,marketplace_sales_included,marketplace_rule_confidence,counted_sales,counted_orders,threshold_amount,threshold_transactions,threshold_test_type,pct_of_dollar_threshold,pct_of_txn_threshold,status,exceeded_reason,is_registered,formula,coverage_gaps
AL,Alabama,2025-01-01,2026-08-16,prior_calendar_year,1282.33,40,27086.77,1747,no,medium,1282.33,40,250000,,or,0.5,0,under,,no,"counted_sales = shopify($1,282.33) only; amazon($27,086.77) excluded per AL state rule (marketplace_sales_count_toward_threshold=false).",
AR,Arkansas,2025-01-01,2026-08-16,current_or_prior_calendar_year,1655.03,49,13075.45,839,no,medium,1655.03,49,100000,200,or,1.7,24.5,under,,no,"counted_sales = shopify($1,655.03) only; amazon($13,075.45) excluded per AR state rule (marketplace_sales_count_toward_threshold=false).",
AZ,Arizona,2025-01-01,2026-08-16,current_or_prior_calendar_year,3749.86,121,80972.72,5117,no,high,3749.86,121,100000,,or,3.7,0,under,,no,"counted_sales = shopify($3,749.86) only; amazon($80,972.72) excluded per AZ state rule (marketplace_sales_count_toward_threshold=false).",
CA,California,2025-01-01,2026-08-16,current_or_prior_calendar_year,16939.36,520,273149.17,17520,yes,high,290088.53,18040,500000,,or,58.0,0,caution,,no,"counted_sales = shopify($16,939.36) + amazon($273,149.17) = $290,088.53. Note: Amazon marketplace sales are INCLUDED per CA state rule (marketplace_sales_count_toward_threshold=true). Kintsugi 'taxable sales' may show a lower figure because it excludes exempt or marketplace-facilitated amounts.",
CO,Colorado,2025-01-01,2026-08-16,current_or_prior_calendar_year,5214.19,149,71565.0,4608,no,medium,5214.19,149,100000,,or,5.2,0,under,,no,"counted_sales = shopify($5,214.19) only; amazon($71,565.00) excluded per CO state rule (marketplace_sales_count_toward_threshold=false).",
CT,Connecticut,2024-10-01,2026-08-16,12mo_ending_sep30,1796.06,60,31354.87,2066,yes,high,33150.93,2126,100000,200,and,33.2,1063.0,approaching,,no,"counted_sales = shopify($1,796.06) + amazon($31,354.87) = $33,150.93. Note: Amazon marketplace sales are INCLUDED per CT state rule (marketplace_sales_count_toward_threshold=true). Kintsugi 'taxable sales' may show a lower figure because it excludes exempt or marketplace-facilitated amounts.",
DC,District of Columbia,2025-01-01,2026-08-16,current_or_prior_calendar_year,487.39,8,1629.15,109,yes,medium,2116.54,117,100000,200,or,2.1,58.5,under,,no,"counted_sales = shopify($487.39) + amazon($1,629.15) = $2,116.54. Note: Amazon marketplace sales are INCLUDED per DC state rule (marketplace_sales_count_toward_threshold=true). Kintsugi 'taxable sales' may show a lower figure because it excludes exempt or marketplace-facilitated amounts.",
FL,Florida,2025-01-01,2026-08-16,prior_calendar_year,11005.93,346,203341.24,13056,no,high,11005.93,346,100000,,or,11.0,0,under,,no,"counted_sales = shopify($11,005.93) only; amazon($203,341.24) excluded per FL state rule (marketplace_sales_count_toward_threshold=false).",
GA,Georgia,2025-01-01,2026-08-16,current_or_prior_calendar_year,3578.51,104,69940.12,4478,no,high,3578.51,104,100000,200,or,3.6,52.0,under,,no,"counted_sales = shopify($3,578.51) only; amazon($69,940.12) excluded per GA state rule (marketplace_sales_count_toward_threshold=false).",
HI,Hawaii,2025-01-01,2026-08-16,current_or_prior_calendar_year,493.51,14,6220.81,399,yes,medium,6714.32,413,100000,200,or,6.7,206.5,exceeded_txn,txn_only,yes,"counted_sales = shopify($493.51) + amazon($6,220.81) = $6,714.32. Note: Amazon marketplace sales are INCLUDED per HI state rule (marketplace_sales_count_toward_threshold=true). Kintsugi 'taxable sales' may show a lower figure because it excludes exempt or marketplace-facilitated amounts.","Shopify data starts 2025-02-01, window starts 2025-01-01"
