state_code,state_name,kintsugi_txn_amount,kintsugi_taxable_sales,kintsugi_txn_count,kintsugi_tax_collected,agent_shopify,agent_amazon,agent_total,agent_txn_count,delta,delta_pct,notes
AK,Alaska,7438.04,720.09,473,24.8,447.23,6510.99,6958.22,452,-479.82,-6.5,"K taxable $720 != txn $7,438"
AL,Alabama,33851.19,29673.04,2147,710.6,1686.43,31009.46,32695.89,2083,-1155.3,-3.4,"K taxable $29,673 != txn $33,851"
AR,Arkansas,17748.59,15599.32,1078,392.61,1847.02,15213.67,17060.69,1061,-687.9,-3.9,"K taxable $15,599 != txn $17,749"
AZ,Arizona,103723.56,92085.04,6471,2170.36,5275.61,95093.08,100368.69,6343,-3354.87,-3.2,"K taxable $92,085 != txn $103,724"
CA,California,370035.02,329112.34,23257,7847.97,24085.93,332097.33,356183.26,22581,-13851.76,-3.7,"K taxable $329,112 != txn $370,035"
CO,Colorado,91579.51,79625.53,5679,1705.87,6772.42,81307.09,88079.51,5557,-3500.0,-3.8,"K taxable $79,626 != txn $91,580"
CT,Connecticut,36398.06,32467.06,2334,641.93,2030.08,33394.35,35424.43,2289,-973.63,-2.7,"K taxable $32,467 != txn $36,398"
DC,District Of Columbia,2567.85,2277.94,145,31.69,593.37,1941.1,2534.47,143,-33.38,-1.3,"K taxable $2,278 != txn $2,568"
DE,Delaware,9235.54,696.26,596,0.0,533.98,8480.93,9014.91,584,-220.63,-2.4,"K taxable $696 != txn $9,236"
FL,Florida,261100.41,233131.51,16537,654.24,13851.28,240221.46,254072.74,16177,-7027.67,-2.7,"K taxable $233,132 != txn $261,100"
GA,Georgia,88916.25,77719.15,5550,1727.16,5150.58,80872.15,86022.73,5416,-2893.52,-3.3,"K taxable $77,719 != txn $88,916"
HI,Hawaii,8599.48,8500.72,544,159.08,717.96,7695.0,8412.96,525,-186.52,-2.2,
IA,Iowa,29461.84,25415.42,1817,593.98,1730.4,26690.24,28420.64,1794,-1041.2,-3.5,"K taxable $25,415 != txn $29,462"
ID,Idaho,36695.59,31808.53,2391,620.2,1255.98,34268.06,35524.04,2326,-1171.55,-3.2,"K taxable $31,809 != txn $36,696"
IL,Illinois,104524.05,91859.35,6642,2286.14,6701.94,94487.63,101189.57,6488,-3334.48,-3.2,"K taxable $91,859 != txn $104,524"
IN,Indiana,59190.62,51261.88,3711,1151.49,3473.03,53481.03,56954.06,3641,-2236.56,-3.8,"K taxable $51,262 != txn $59,191"
KS,Kansas,24013.65,20912.08,1482,565.12,1300.11,21711.57,23011.68,1445,-1001.97,-4.2,"K taxable $20,912 != txn $24,014"
KY,Kentucky,29400.64,29131.96,1875,960.01,1511.34,27117.55,28628.89,1835,-771.75,-2.6,"K taxable $29,132 != txn $29,401"
LA,Louisiana,23953.54,20959.05,1511,615.97,1644.25,21395.23,23039.48,1479,-914.06,-3.8,"K taxable $20,959 != txn $23,954"
MA,Massachusetts,69250.52,60364.24,4233,1041.27,6552.45,60437.47,66989.92,4121,-2260.6,-3.3,"K taxable $60,364 != txn $69,251"
MD,Maryland,149215.12,147365.06,9401,8546.98,6894.33,46492.47,53386.8,3140,-95828.32,-64.2,"K taxable $147,365 != txn $149,215"
ME,Maine,9182.15,7929.97,580,129.37,542.06,8544.06,9086.12,572,-96.03,-1.0,"K taxable $7,930 != txn $9,182"
MI,Michigan,101187.78,99716.32,6495,3341.72,5511.31,92838.83,98350.14,6312,-2837.64,-2.8,"K taxable $99,716 != txn $101,188"
