state_code,state_name,month,event_count_approx,first_evidence,last_evidence,fc_codes,sources,physical_nexus_flag,confidence,fba_position
AL,Alabama,2024-01,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-02,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-03,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-04,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-05,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-06,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-07,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-08,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-09,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-10,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-11,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2024-12,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2025-01,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2025-02,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2025-03,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2025-08,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2025-09,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2025-10,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2025-11,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2025-12,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2026-01,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2026-02,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2026-03,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2026-04,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
AL,Alabama,2026-05,,2024-01-01,2026-08-15,BHM1|TAX-RPT-AL,2024Jan1-2026Aug10_CustomCombinedTax.csv|spapi_inventory_ledger,yes,medium,unknown_default_true
