state_code,priority,field,our_value,reference_value,match,notes,primary_source_needed
PA,HIGH,economic_threshold_period,current_or_prior_calendar_year,prior_calendar_year,NO,Collection delayed to April 1 following year,YES — verify against state DOR
AL,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
AR,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
AZ,,marketplace_sales_count_toward_threshold,False,True,NO,Txn threshold repealed,YES — verify against state DOR
CO,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
FL,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
GA,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
IL,,marketplace_sales_count_toward_threshold,False,True,NO,200-txn threshold REPEALED Jan 1 2026,YES — verify against state DOR
IN,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
KY,,economic_threshold_transactions,(null),200,NO,,YES — verify against state DOR
MA,,economic_threshold_period,current_or_prior_calendar_year,prior_calendar_year,NO,,YES — verify against state DOR
MA,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
ME,,marketplace_sales_count_toward_threshold,False,True,NO,Txn threshold repealed,YES — verify against state DOR
MI,,economic_threshold_period,prior_calendar_year,current_or_prior_calendar_year,NO,,YES — verify against state DOR
MO,,economic_threshold_period,prior_12_months,current_or_prior_calendar_year,NO,Effective Jan 1 2023,YES — verify against state DOR
MS,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
ND,,marketplace_sales_count_toward_threshold,False,True,NO,Txn threshold repealed,YES — verify against state DOR
NM,,economic_threshold_period,prior_calendar_year,current_or_prior_calendar_year,NO,Gross Receipts Tax,YES — verify against state DOR
NM,,marketplace_sales_count_toward_threshold,False,True,NO,Gross Receipts Tax,YES — verify against state DOR
OK,,economic_threshold_period,prior_12_months,current_or_prior_calendar_year,NO,,YES — verify against state DOR
OK,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
TN,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
UT,,marketplace_sales_count_toward_threshold,False,True,NO,Txn threshold removed Jul 1 2025,YES — verify against state DOR
VA,,marketplace_sales_count_toward_threshold,False,True,NO,,YES — verify against state DOR
VT,,economic_threshold_period,prior_4_quarters,prior_12_months,NO,,YES — verify against state DOR
WY,,marketplace_sales_count_toward_threshold,False,True,NO,Txn threshold repealed,YES — verify against state DOR
CA,HIGH,economic_threshold_amount,500000,500000,YES,,
CA,HIGH,economic_threshold_transactions,(null),(null),YES,,
CA,HIGH,threshold_test_type,or,or,YES,,
CA,HIGH,economic_threshold_period,current_or_prior_calendar_year,current_or_prior_calendar_year,YES,,
CA,HIGH,marketplace_sales_count_toward_threshold,True,True,YES,,
