MONTHLY SUMMARY
Month,Shipping,$0.50 per Pick,$2 Order Fee,$2.00 Order Fee,Packaging,Master Carton on Shelf Storage,Medium Bin Storage,Pallet Storage,Small Bin Storage,Account Management Fee,Ad-hoc,Total
2026-03,563.78,143.50,164.00,29.70,27.48,24.00,28.50,122.50,2.25,50.00,30.00,1185.71
2026-04,1807.75,331.50,0.00,627.54,51.10,48.00,57.00,245.00,4.50,100.00,177.60,3449.99
2026-05,1987.11,601.50,0.00,596.02,103.50,60.00,75.00,288.75,5.25,125.00,381.80,4223.93
2026-06,1861.94,583.00,0.00,606.00,126.71,48.00,60.00,280.00,4.50,100.00,283.60,3953.75
2026-07,1598.83,371.50,0.00,497.00,115.09,48.00,58.50,332.50,4.50,100.00,352.92,3478.84
2026-08,1267.77,579.50,0.00,439.00,95.22,24.00,27.00,175.00,2.25,50.00,-210.90,2448.84

PACKAGING FEES BY MONTH
Month,Fee Name,Qty,Amount
2026-03,#0 Bubble Mailer,9,2.70
2026-03,#000 Bubble Mailer,11,1.98
2026-03,#1 Bubble Mailer,20,7.20
2026-03,#2 Bubble Mailer,1,0.39
2026-03,4x4x4,8,2.88
2026-03,4x4x8,9,7.65
2026-03,8x6x4,6,3.72
2026-03,8x8x6,1,0.96
2026-04,#000 Bubble Mailer,53,9.54
2026-04,#1 Bubble Mailer,17,6.12
2026-04,#2 Bubble Mailer,12,4.68
2026-04,10x10x4,1,0.90
2026-04,4x4x4,17,6.12
2026-04,4x4x8,10,8.50
2026-04,8x6x4,6,3.72
2026-04,8x8x6,12,11.52
2026-05,#0 Bubble Mailer,50,15.00
2026-05,#000 Bubble Mailer,15,2.70
2026-05,#1 Bubble Mailer,3,1.08
2026-05,#2 Bubble Mailer,4,1.56
2026-05,10x10x4,2,1.80
2026-05,12x8x8,2,1.98
2026-05,14x6x6,1,0.92
2026-05,32in x 32in Polybag,1,1.00
2026-05,4x4x4,32,11.52
2026-05,4x4x8,2,0.00
2026-05,6x6x6,32,18.88
2026-05,7x5x3,41,29.52
2026-05,8x4x4,12,6.72
2026-05,8x6x4,4,2.48
2026-05,8x8x6,7,6.72
2026-05,9x9x4,2,1.62
2026-06,#0 Bubble Mailer,125,37.50
2026-06,#000 Bubble Mailer,37,6.66
2026-06,10x10x4,1,0.90
2026-06,4x4x4,46,16.56
2026-06,4x4x8,1,0.85
2026-06,6x6x6,11,6.49
2026-06,7x5x3,69,45.36
2026-06,8x4x4,3,1.68
2026-06,8x6x4,3,1.86
2026-06,8x8x6,5,4.80
2026-06,9x9x4,5,4.05
2026-07,#0 Bubble Mailer,85,21.30
2026-07,#000 Bubble Mailer,25,4.50
2026-07,#2 Bubble Mailer,2,0.78
2026-07,10x10x4,1,0.90
2026-07,20x16x14,1,3.12
2026-07,4x4x4,57,20.52
2026-07,4x4x8,12,10.20
2026-07,6x6x6,32,15.34
2026-07,7x5x3,54,33.12
2026-07,8x4x4,2,1.12
2026-07,8x6x4,1,0.62
2026-07,8x8x6,3,0.96
2026-07,9x9x4,2,1.62
2026-07,9x9x9,1,0.99
2026-08,#0 Bubble Mailer,89,26.70
2026-08,#000 Bubble Mailer,14,2.52
2026-08,#2 Bubble Mailer,1,0.39
2026-08,18x18x12,1,2.94
2026-08,4x4x4,42,15.12
2026-08,4x4x8,4,3.40
2026-08,6x6x6,3,1.77
2026-08,7x5x3,43,29.52
2026-08,8x4x4,3,1.68
2026-08,8x6x4,4,2.48
2026-08,8x8x6,4,3.84
2026-08,9x9x4,6,4.86

AD-HOC FEES BY MONTH
Month,Fee Name,Qty,Amount
2026-03,FBA and Reboxing - $6 per carton,1,30.00
2026-04,Credit,1,-3.00
2026-04,FBA Forwarding,22,81.00
2026-04,FBA Forwarding + Reboxing,1,30.00
2026-04,Packaging,5,15.60
2026-04,Re-Boxing,5,15.00
2026-04,Receiving,4,19.00
2026-04,Special Project,2,20.00
2026-05,FBA Forwarding,36,108.00
2026-05,Packaging,15,46.80
2026-05,Re-Boxing,15,45.00
2026-05,Receiving,8,92.00
2026-05,Shipping Costs,1,10.00
2026-05,Special Project,5,80.00
2026-06,Credit,2,-76.34
2026-06,FBA Forwarding,25,75.00
2026-06,FBT Forwarding,2,6.00
2026-06,Packaging Fee,3,194.34
2026-06,Re-Boxing,12,36.60
2026-06,Receiving,4,12.00
2026-06,Returns,2,6.00
2026-06,Special Project,2,30.00
2026-07,Credit,1,-72.48
2026-07,FBA Forwarding,56,150.00
2026-07,Packaging,15,46.80
2026-07,Packaging Fee,5,15.60
2026-07,re-box,10,30.00
2026-07,Re-Boxing,10,30.00
2026-07,Receiving,5,83.00
2026-07,Special Project,3,70.00
2026-08,Credit,1,-305.50
2026-08,FBA Forwarding,17,51.00
2026-08,Packaging Fee,5,15.60
2026-08,Re-Boxing,5,15.00
2026-08,Receiving,1,3.00
2026-08,Special Project,1,10.00

DETAIL
Date,Period Start,Period End,Month,Entry,Category,Fee Name,Reference,Order,Qty,Amount
2026-03-23,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420527519261290400217415285011,,,6.56
2026-03-23,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420290409261290400217415275012,,,6.49
2026-03-23,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420465019261290400217415285028,,,5.69
2026-03-23,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420945449261290400217415285035,,,8.23
2026-03-23,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420189149261290400217415295010,,,6.31
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW34883593,,,6.81
2026-03-23,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420173159261290400217415265013,,,7.69
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236687,,,5.36
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236724,,,4.66
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236748,,,4.44
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236755,,,4.44
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236762,,,4.88
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236786,,,4.66
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236793,,,4.88
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236809,,,4.66
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236823,,,5.68
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236939,,,4.88
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236946,,,5.47
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500236953,,,5.91
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500237004,,,6.67
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500237011,,,5.36
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW21342003,,,6.81
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW38669013,,,7.15
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500239503,,,4.66
2026-03-23,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500239510,,,4.99
2026-03-23,,,2026-03,charge,Shipping,dhl-ecommerce parcel-ground,420164069261290400217415285202,,,6.16
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW37993067,,,7.60
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW34807675,,,6.81
2026-03-23,,,2026-03,void,Shipping,ups ground-saver-over-1lb,1Z142A5BYW34807675,,,-6.81
2026-03-23,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW07778203,,,6.81
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500241483,,,4.44
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500241490,,,5.86
2026-03-24,,,2026-03,charge,Shipping,ups ground-saver-over-1lb,1Z142A5BYW34126777,,,7.60
2026-03-24,,,2026-03,charge,Shipping,usps ground-advantage,9214490374015500241568,,,4.99
